Title,Output
British Airways Dispute with Union May Be Ending | TravelPulse,0
Couple Joins Mile High Club in Ryanair Cabin | TravelPulse,0
European Union Takes Aim at Gulf Carriers | TravelPulse,0
Deal Alert: Emirates Offers Flights to Dubai for $699 Roundtrip | TravelPulse,1
Lufthansa's New Deal Promises Mystery Destinations | TravelPulse,1
Emirates Airline Foundation to support building of new facility for Safe Centre for Autism and Asperger’s Syndrome,0
American Reverses Plan for Downsizing Seats | TravelPulse,0
Woman Files Molestation Lawsuit Against Delta | TravelPulse,0
Flight Review: Norwegian Air from JFK to Bangkok | TravelPulse,1
Hargeisa joins Air Arabia’s growing African network,1
"Deal Alert: Fly to Asia Roundtrip Starting at $1,458 | TravelPulse",1
Qatar Airways Qsuite To Debut At Paris Air Show | TravelPulse,0
Shocking Video Shows United Abusing Elderly Passenger | TravelPulse,0
WestJet's Incredible Father’s Day Surprise | TravelPulse,0
World’s Biggest Commercial Plane About to Get Bigger | TravelPulse,0
Airline Passenger Complaints Jumped 70 Percent in April | TravelPulse,0
TSA and American Test New Screening Technology | TravelPulse,0
8 People You Hate to Fly With | TravelPulse,0
China Penalizes Emirates for Unsafe Flights | TravelPulse,0
Shocking Video Shows United Abusing Elderly Passenger | TravelPulse,0
American Beverage Cart Reportedly Caused Brain Injury | TravelPulse,0
Pro Tip: TSA Will Find Your Underwear Meth | TravelPulse,0
British Airways Cabin Crew Plan Two-Week Strike | TravelPulse,0
British Airways Facing Two-Week Strike | TravelPulse,0
Norwegian Air Takes Off from Hudson Valley | TravelPulse,1
Qatar Airways Debuts New 'No Borders' Video | TravelPulse,0
Emirates advises customers to arrive early to airport during busy summer season,0
Solving Antigua & Barbuda's Airline Problem | TravelPulse,0
United Passenger Told Massive Fuel Leak Was 'Normal' | TravelPulse,0
Drug Suspicions Forced EasyJet Emergency Landing | TravelPulse,0
Longtime Airport Service Dog Retires | TravelPulse,0
"Qantas, Alaska Airlines Strengthen Ties | TravelPulse",0
"Delta's Luxurious New Planes, Suites Are Here | TravelPulse",0
Five Airlines Place Orders for Boom's Supersonic Jet | TravelPulse,0
"Qatar Airways, Air Canada Shine at 2017 Skytrax Awards | TravelPulse",0
Severe Turbulence Leaves 26 Airline Passengers Injured | TravelPulse,0
Deal Alert: Save 25 Percent on Priority Pass Membership | TravelPulse,0
"Senate Bill Extends FAA, Consumer Protections | TravelPulse",0
Shake Shack Shakes Up LAX’s Culinary Offerings | TravelPulse,0
Etihad Announces Partnership with China Southern Airlines | TravelPulse,0
Delta Teaming with VICE for Launchpad Events | TravelPulse,0
Qatar Airways Seeks Shares in American Airlines | TravelPulse,0
American Won't Renew Controversial Uniforms Contract | TravelPulse,0
Air Canada Named Best Airline in North America by Skytrax World Airline Awards | TravelPulse,0
Severe Turbulence Injures 10 on United Flight | TravelPulse,0
Two initiatives to improve passenger experience at Emirates Terminal 3 will soon be introduced,0
Etihad Aviation Group organises ‘A Wish Comes True’ event to support autism awareness,0
Etihad Airways increases Middle East and North Africa capacity to cater to growing summer demand,1
Manchester City and Etihad Airways team up to empower young community football leaders in week-long summit,0
Etihad Airways introduces Airbus A380 from Abu Dhabi to Paris Charles de Gaulle,1
Phnom Penh becomes Emirates’ latest gateway,1
Deal Alert: Fare Sale from Qatar Offers 10 Days of Savings | TravelPulse,1
Is This the Best Airline Review Ever? | TravelPulse,0
Southwest Airlines Reducing Service to Cuba | TravelPulse,1
Qatar Airways Illuminates Empire State Building | TravelPulse,0
Baby Gets Free Spirit Birthday Flights for Life | TravelPulse,0
Mexico Fines Airlines $1.24 Million | TravelPulse,1
Airlines Continue to Push for Standing Seats | TravelPulse,0
Don't Throw Coins into Airliner Engines for Good Luck | TravelPulse,0
Perfect Views of Total Solar Eclipse Via Alaska Airlines | TravelPulse,0
Thomas Cook Airlines Adds Year-Round Service from Manchester to JFK | TravelPulse,0
Spirit Passenger Lost Seat Due to Size | TravelPulse,0
Emirates Team New Zealand bring the prestigious America’s Cup to Dubai,0
Etihad Aviation Group honoured with four treasury accolades at London awards,0
Emirates brings Vietnam closer to passengers,1
"Air Arabia touches down in Trabzon, Turkey",1
Air Arabia adds Sohar to Oman network,1
Abu Dhabi First Airport Exempted from Laptop Ban | TravelPulse,0
Nearly a Dozen Passengers Removed from Alaska Flight | TravelPulse,0
Emirates expands free inflight Wi-Fi offering,0
Atlanta Airport Advises Passengers to Avoid Drinking Water | TravelPulse,0
Sunwing Plane Bound for Cuba Returns to Montreal Under Fighter Jet Escort | TravelPulse,0
Air Canada’s Premium Economy Is a Cut Above | TravelPulse,0
Child Loses Paid-For Seat After United Error | TravelPulse,0
United Announces Changes to MileagePlus Program | TravelPulse,0
Puppy Abandoned in Las Vegas Airport Bathroom | TravelPulse,0
Boeing's Unbuilt 797 Airliner is So Hot Right Now | TravelPulse,0
Big 3 in a Revenue Dogfight With Smaller Airlines | TravelPulse,0
Japanese Airline Forced Disabled Man to Crawl Aboard | TravelPulse,0
Delta Kicks Rap Group Migos Off Plane | TravelPulse,0
Qatar Airways Latest to Be Removed From Electronics Ban | TravelPulse,0
British Airways About to be Hit by New Cabin Strike | TravelPulse,0
"Etihad Holidays expands in Saudi Arabia, Kuwait, Oman and Bahrain",1
"Emirates, Norwegian Step up Free Wi-Fi | TravelPulse",0
Delta Flight Diverted After Attack on Flight Attendant | TravelPulse,1
Emirates boosts U.S. economy by US$21 Billion,0
Etihad Airways increases frequency to Egypt and Nigeria,1
Washington DC Airports Endure Air Traffic Control Delays | TravelPulse,0
United Destroys $40K Custom Wheelchair | TravelPulse,0
Air France Unveils Fancy-Pants Chewing Gum | TravelPulse,0
Airline Industry Responds to Qatar Airways CEO’s Offensive Comments | TravelPulse,0
Universal Lounge Access Only the Start of Bangkok Airways Perks | TravelPulse,0
Man Attempts to Open Air Asia Door Midflight | TravelPulse,0
"Royal Jordanian, Kuwait Airways Exempted from Electronics Ban | TravelPulse",0
Emirates Extends its Global Network of Dedicated Airport Lounges with New Lounge at Boston Logan International Airport,0
"Emirates Announces Double Daily A380 Service to Moscow, Amends Flight Times to St Petersburg",1
Abu Dhabi tops leading UK travel firm’s “most wanted” list for 2017,0
JetBlue Left Woman with Alzheimer’s at Airport | TravelPulse,0
Thomas Cook to Create LGBTQ Expert Service | TravelPulse,0
AA to End Codeshare Relationships with Qatar and Etihad | TravelPulse,0
"Major Airport Strike Averted in NYC, Philadelphia | TravelPulse",0
FAA Investigating United's Baby Seat Incident | TravelPulse,0
"Emirates Adds Flights to Khartoum, Increasing Connection Options for Customers",1
Frontier Announces Major Network Expansion | TravelPulse,1
Delta Seat Change Sends Ann Coulter on a Tweetstorm | TravelPulse,0
United Delivers Wrong Dog to Rapper Schoolboy Q | TravelPulse,0
Video Shows Emirates Attendant Pouring Champagne Back into Bottle | TravelPulse,0
American Forced Woman to Sit Next to Man Caught Masturbating | TravelPulse,0
A Bunch of Cows Just Landed in Qatar | TravelPulse,0
US Airlines Push Back Against Qatar Airways | TravelPulse,0
Delta Expands Trans-Pacific Service to China | TravelPulse,1
Thomas Cook Airlines Announces Manchester to Seattle Route for Summer 2018 | TravelPulse,1
Air France's New Low-Cost Plan Approved | TravelPulse,1
EasyJet Puts Libraries in the Sky for Kids | TravelPulse,0
"Delta Pilot Sticks Plane in Dirt, Screws Up Airport | TravelPulse",0
Qatar Airways Donates Books to Kids in NYC | TravelPulse,0
Did a Fart Force Airliner Evacuation? | TravelPulse,0
Air Arabia first international flight to commence operations at Sohar Airport,1
Etihad Airways introduces next-generation Boeing 787 between Abu dhabi and BeirutEtihad Airways introduces next-generation Boeing 787 between Abu Dhabi and Beirut,1
Etihad Airways reports net loss for 2016,0
Air France-KLM to Buy Huge Stake in Virgin Atlantic | TravelPulse,0
Score Low Fares on Southwest During Flash Sale | TravelPulse,1
Foul Odor Hospitalizes American Crew | TravelPulse,0
Qatar Airways Aces IATA Safety Audit for Eighth Time | TravelPulse,0
"Delta Pilot and Flight Attendant Fight, Delay Flight | TravelPulse",0
United Banned Comic Books During Comic-Con? | TravelPulse,0
United Passengers Subdue ‘Psychotic’ Woman | TravelPulse,0
London-Bound Flight Nearly Had Door Opened | TravelPulse,0
Delta Approved for $4 Billion LaGuardia Facility | TravelPulse,0
43 Months of Employment Gains for US Airlines | TravelPulse,0
"DOT Fines American, Delta, Frontier $850K | TravelPulse",0
Emirates recognised in Future Travel Experience Airline Passenger Experience Power List 2017,0
His Highness Sheikh Ahmed bin Saeed Al Maktoum Receives VIP Visitors from Ghana,0
Etihad Airways introduces Boeing 787 on Seoul Incheon service,0
Sydney Opera House and major partner Etihad Airways to bring original podcast content to over 18 million passengers each year,0
Q2 - 2017 Investors' Conference Call Invitation,0
"Kindness at 30,000 Feet | TravelPulse",0
Top-Notch Customer Service Pays Off for Airlines | TravelPulse,0
Naked Passenger Delays Spirit Airlines Flight | TravelPulse,0
Delta Pilots Automated Boarding in Atlanta | TravelPulse,0
Teddy Bear Enjoys Epic Tour of Dallas Love Field | TravelPulse,0
Why Are Airlines Really So Profitable? | TravelPulse,0
US Court Rules on Shrinking Airline Seats | TravelPulse,0
Southwest Announces Best Flights to Witness Total Solar Eclipse | TravelPulse,0
Delta Takes Delivery of First Airbus A350 | TravelPulse,1
Pilots Grounded After Landing Gear Debacle | TravelPulse,0
See Florida Airport Worker Survive Lightning Strike | TravelPulse,0
United Failed to Report Alleged In-Flight Groping | TravelPulse,0
"Flight Delays Were So Long, Passengers Called 911 | TravelPulse",0
Emirates offers special fares for short getaways this Eid,1
"Air Arabia posts strong second quarter net profit of AED 158 million, up 21%",0
"Bought Ticket to Denmark, Wound Up in Greece | TravelPulse",0
Man Charged After Assaulting Air Canada Rouge Flight Attendant | TravelPulse,0
Qatar Reverses Plan to Invest in American Airlines | TravelPulse,0
Ready to Pay More for Your Airline Ticket? | TravelPulse,1
"Relax & Revitalize at the Airport (No, Seriously) | TravelPulse",0
Is Midwest Express Poised for a Rebirth? | TravelPulse,0
Dramatic Airline Pilot Shortage on the Horizon | TravelPulse,0
Police Called After Vegas Flight Delayed Two Days | TravelPulse,0
This Delta Flight is Your Best Eclipse Bet | TravelPulse,0
Airberlin and JetBlue Ink Cooperation Deal | TravelPulse,0
"LaGuardia Project Brings in the Stars, Billions | TravelPulse",0
Here's Where Airlines Are Succeeding | TravelPulse,0
Price is Top Consideration for Air Travel | TravelPulse,0
Did Delayed United Flight Kill Family Dog? | TravelPulse,0
Delta Comfort is Totally Worth it on Long Flights | TravelPulse,0
Crystal Skye Joins Crystal's Growing Luxury Portfolio | TravelPulse,0
Etihad Airways partners with Indian designer Manish Arora at Lakmé Fashion Week,0
Emirates to deploy extra flights for the upcoming Hajj season,1
American Facing Lawsuit Over Stained Wedding Dress | TravelPulse,0
Asian Airline Trains Staff to Recognize Human Trafficking | TravelPulse,0
Condor Adds Third Austin-Frankfurt Flight for Summer 2018 | TravelPulse,1
Get Ready for Cheap Flights | TravelPulse,1
"Family Turned Away at Airport Due to, Minnie Mouse? | TravelPulse",0
Ready for Virtual Reality In-Flight Entertainment? | TravelPulse,0
Airberlin Files for Bankruptcy Protection | TravelPulse,0
"Ryanair Will Have Just Two Drinks, Please | TravelPulse",0
Delta's New Jets Target American and Southwest | TravelPulse,0
Strike Brings Police to Spanish Airport | TravelPulse,0
A 'Hole' Lot of Chaos at London Airport | TravelPulse,0
Etihad Aviation Group recognises partnership with women for Emirati Women’s Day,0
Jet Airways to offer unique stay experience with Airbnb,0
Airports Compensate for Shifting Magnetic North Pole | TravelPulse,0
Major U.S. Airlines Face Increasing Trans-Atlantic Competition | TravelPulse,0
Portland Airport Worker Tries to Catch Free Flight | TravelPulse,0
Delta Pilots Live Video Chat Program | TravelPulse,0
NBA Player Displays Act of Kindness | TravelPulse,0
Qatar Airways Rolls Out Premium Dining Service | TravelPulse,0
Alaska Airlines Upgrading Flight Wi-Fi Service | TravelPulse,0
British Airways Passenger Forced to Sit in Urine-Soaked Seat | TravelPulse,0
Couple Accused of Having Sex on Las Vegas-Bound Flight | TravelPulse,0
Delta Rewards Seattle Seahawks Fans | TravelPulse,0
Man Attempts to Open Exit Door Mid-Flight | TravelPulse,0
Aerolíneas Argentinas and Etihad Airways sign codeshare agreement,1
Southwest Launches Rescue Flights from Hobby | TravelPulse,1
Emergency Directive Issued for Airbus Planes Over Explosion Risk | TravelPulse,1
Passenger Found Dead on Houston-Bound Flight | TravelPulse,0
United Forfeited Mother's Tickets Due to Sick Son | TravelPulse,0
WOW Air Expands US Network in Midwest | TravelPulse,0
"Air Arabia posts strong third quarter net profit of AED 376 million, up 27%",0
Emirates’ new Boeing 777 First Class product to debut in Europe,1
"Etihad Aviation Group, Alibaba Group and Ant Financial sign MoU to improve guest experience And enhance logistics efficiency",0
"Emirates and flydubai Further Expand Partnership, Announce New Codeshare Destinations",1
Etihad Airways marks 10th anniversary of flights to Nepal,0
Emirates delivers unbeatable offers ahead of Oman’s National Day,1
Emirates Group announces half-year performance for 2017-18,0
Emirates set for largest presence ever at Dubai Airshow,0
Etihad Airways marks opening of Louvre Abu Dhabi with spectacular A380 fly-by,0
Chef Kotaro Noda wins ‘Taste the World’ competition with Etihad Airways at Taste of Abu Dhabi Festival,0
Emirates places US$15.1 billion order for 40 Boeing 787 Dreamliners at 2017 Dubai Airshow,0
Emirates Boeing 777 and Airbus A380 open Dubai Airshow flying display in spectacular fly past with Al Fursan,0
Etihad Airways showcases innovation to royalty at Dubai Airshow,0
Motoring celebrity Jeremy Clarkson fronts Emirates’ latest ad campaign,0
Air Arabia leases six new Airbus A321neo LR’ aircraft to serve longer range routes,1
Air Arabia selects AFI KLM E&M for CFM56-5B engine support of growing A320 fleet,0
"Emirates’ family of aircraft draw in 27,000 visitors to experience new product innovations",0
Jet Airways commences first non-stop daily flight between Chennai and Paris,1
Etihad Airways hosts the 2017 edition of internationally-acclaimed annual Aviation Health Conference,0
Etihad Airways Swiss flights become all-Boeing 787 Dreamliner services,1
Etihad Aviation Group’s Adam Boukadida named Treasury Professional of the Year,0
Emirates Group releases 2016/17 Annual Environmental Report,0
Etihad Airways marks start of Grand Prix with spectacular A380 fly-past,0
Emirates Collaborates with ESPN on Athlete Documentary Series,0
Emirates expects busy travel period over the long National Day weekend,1
The Emirates Group Celebrates 46th UAE National Day,0
Emirates’ New Boeing 777 Cabins Wow Customers,0
"Air Arabia expands in Africa, adds Eritrea to its network",1
Etihad Airways increases Maldives frequency,1
Etihad Airways introduces second daily flight to Jordan,1
Emirates celebrates holiday season with special Christmas treats,0
Etihad Airways introduces a range of comfort items and amenities for purchase on selected flights,0
Emirates advises customers to arrive early to airport during busy holiday travel season,0
Emirates shares in passion for films at the 14th edition of DIFF,0
Etihad Airways announces Casablanca as new Boeing 787 Dreamliner destination,1
Nurturing small gloves with big dreams: Emirates brings Los Angeles Dodgers all-star players to Dubai,0
Emirates A380 lands in Bahrain for 46th National Day with one-off flight,1
Jet Airways guests to savour Christmas specials on select flights from Mumbai and Delhi to London Heathrow,0
"Air Arabia adds Sheremetyevo airport to Moscow network, boosts Russia flights to double-daily",1
Emirates to launch London Stansted service from June 2018,1
